feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23
KLF12	-0.389	0.168	0.710	0.660	1.115	0.623	0.711	1.544	1.439	0.819	0.053	0.086	0.406	0.613	0.928	0.259	-0.143	0.309	0.641	0.304	0.288	1.157	0.834
CLEC14A	5.577	6.641	6.677	6.231	6.191	6.826	6.862	6.591	6.106	7.067	6.963	6.516	6.008	7.145	6.502	5.882	5.379	5.168	7.264	6.206	5.942	6.593	5.986
UBTD2	-0.298	0.654	0.033	-0.503	-0.244	0.309	0.387	-0.471	0.005	-0.297	0.231	-0.455	-0.101	-0.592	0.356	-0.664	0.221	-1.450	0.409	-0.435	-0.255	0.387	0.585
TM2D3	0.675	1.354	0.843	1.500	1.063	1.558	1.582	1.002	1.258	0.805	0.779	0.237	1.079	-0.721	1.165	0.198	0.958	-0.605	1.147	0.347	0.512	1.532	1.244
C6orf151	-1.120	-0.792	-0.793	-0.783	-0.869	-0.606	-0.245	-0.804	-0.956	-0.867	-0.840	-0.574	-0.968	-0.691	-0.243	-1.014	-1.493	-0.576	-0.487	-1.193	-1.184	-0.956	-1.404
ZNF273	-0.591	-1.459	-1.879	-0.598	-0.943	-1.128	-0.817	-1.674	-0.726	-1.556	-1.671	-0.684	-1.791	-2.019	-1.188	-1.378	-1.538	-1.775	-1.321	-1.486	-1.423	-1.353	-1.573
ZNF133	-0.691	-0.443	-0.100	0.221	-0.412	0.180	-0.025	0.053	0.386	0.000	-0.709	-0.513	-0.363	0.265	-0.157	-0.436	-0.165	0.185	-0.114	0.049	-0.520	-0.175	-0.501
SOX18	2.241	1.155	1.637	1.292	0.834	1.561	0.996	1.095	1.486	2.485	2.335	2.765	2.216	2.306	-1.329	1.504	-0.346	2.323	2.031	1.400	1.569	1.268	0.342
RP11-50D16.3	1.656	0.909	0.830	1.709	0.952	1.249	1.085	1.032	1.282	1.082	0.501	1.422	1.238	0.494	1.006	1.167	0.682	0.116	-0.005	0.768	0.839	0.771	0.501
ZNF174	0.544	0.530	0.350	-0.383	-0.155	0.255	0.041	-0.002	-0.317	0.118	-0.063	-0.274	0.525	-0.520	0.097	-0.156	0.219	-0.443	0.167	0.227	-0.411	0.120	0.425
TIE1	-0.668	1.172	1.909	2.127	1.998	0.862	1.538	0.935	1.965	1.134	1.075	0.542	1.233	0.806	2.735	2.341	1.679	0.775	3.081	2.296	1.768	2.846	2.579
HSPA2	1.239	0.206	0.561	0.726	1.172	0.206	0.481	-0.303	0.625	0.726	0.506	0.378	0.531	2.189	0.624	0.487	0.043	0.151	0.315	0.726	-0.638	0.849	0.300
ROBO3	-0.673	0.307	0.011	-0.354	-1.516	-0.832	-0.807	-0.097	0.510	-0.138	-0.391	-0.146	-1.089	0.055	-0.833	-0.288	0.266	-0.217	-0.905	-0.054	-0.355	-0.933	-0.650
IL12A	-1.575	0.116	-0.334	-0.003	-0.881	-0.994	-0.092	0.542	-0.744	-0.854	-0.101	-1.338	-0.512	-0.710	-0.476	-0.767	-0.060	-0.990	0.001	-0.094	-1.030	-0.317	-0.475
DKKL1	0.061	-1.056	-0.803	-1.249	-0.524	-0.546	-0.839	-1.051	-0.200	-1.259	-1.260	-1.091	-1.192	-0.624	-1.073	-1.202	-1.681	-1.073	-1.926	-0.713	-1.165	-1.485	-1.165
RNF31	-0.951	0.021	-0.315	-0.292	-0.940	-0.965	-1.026	-0.174	-0.265	0.075	-0.260	-0.625	-0.460	0.406	-0.433	-0.097	-0.020	-0.161	-0.350	-0.098	-0.737	-0.534	-0.458
C20orf114	0.002	-0.032	0.052	-0.608	-0.388	-0.123	-1.087	-1.374	-0.720	-0.663	-0.380	-0.568	-1.515	-0.371	-0.226	-0.757	-0.340	0.057	-0.810	-0.466	-0.328	-0.666	0.167
TNFRSF19	-1.369	0.377	-0.510	-3.091	-3.729	-0.710	0.299	-0.178	-0.626	-0.756	-0.613	-2.852	0.256	-2.166	0.272	-1.599	-1.396	-3.432	-1.222	-0.235	-2.151	0.140	-0.010
SULT1E1	-0.060	0.037	-0.253	0.752	-0.079	-0.303	-0.193	3.342	-0.468	-0.852	-0.256	-1.234	-0.079	-0.240	-0.175	-0.349	-0.620	-0.402	-0.006	-2.537	-2.023	0.244	-0.039
IL4	-0.576	-0.272	-1.255	-1.292	-0.988	-0.399	-0.857	-0.580	-0.998	-1.008	-0.460	-1.052	-1.115	-2.241	-1.054	-1.399	-0.929	-1.117	-1.345	-0.892	-1.334	-1.383	-0.887
ATP6V0E2	0.986	-0.390	-0.629	-0.846	0.769	-1.262	-0.495	-0.665	-0.589	-0.785	-0.024	-1.050	-0.230	0.129	-0.775	-0.055	0.213	0.906	-0.610	-0.039	-0.358	-0.903	0.674
TAF3	0.151	0.611	0.832	0.591	1.137	0.843	0.459	1.396	1.327	1.044	1.037	0.786	0.643	1.402	0.875	0.647	0.657	0.730	0.823	0.663	0.523	0.726	0.070
RG9MTD3	-0.314	-0.450	0.223	0.259	-0.148	-0.040	-0.238	-0.368	-1.005	-0.484	-0.840	-0.307	0.056	-0.485	-0.157	0.280	0.069	0.001	-0.117	0.250	-0.219	-0.329	-0.608
ZDHHC5	0.694	0.461	0.535	0.455	0.448	0.471	0.428	0.685	0.242	0.306	0.367	0.256	0.706	0.978	0.285	1.416	1.419	1.801	0.506	1.320	1.252	0.586	1.156
MLL4	-1.250	-0.783	-0.708	-0.682	-1.398	-1.894	-1.834	-1.092	-1.183	-1.194	-1.546	-2.050	-1.365	-1.286	-1.235	-0.500	0.220	-0.156	-1.138	-0.510	-0.823	-1.169	-0.499
SGOL1	-2.079	-2.145	-2.447	-1.222	-2.875	-2.781	-2.380	-2.623	-2.603	-2.319	-1.981	-1.838	-2.742	-1.712	-2.685	-2.268	-2.188	-2.412	-2.638	-2.040	-2.460	-2.461	-2.410
NES	-2.624	-2.161	-1.288	-1.010	-1.045	-2.597	-2.168	-1.987	-0.670	-2.091	-1.601	-2.035	-2.204	-1.516	-0.217	0.022	-0.339	-0.417	-0.560	-0.808	-1.523	-0.477	-0.508
SUMF2	0.079	0.722	-0.059	0.004	-0.021	0.439	0.621	0.125	0.989	-0.102	-0.132	-0.054	-0.115	-0.721	0.069	-0.106	-0.268	0.224	-0.471	-0.391	-0.439	0.072	-0.124
SPATA9	-0.659	-0.839	0.008	0.041	-1.279	-1.133	-0.837	-0.574	0.180	-0.837	-0.278	-0.959	-1.023	-1.272	-0.835	-0.717	0.455	-1.990	-1.621	-1.430	0.227	-1.274	-1.206
FAM26C	-0.496	0.336	0.344	0.532	-0.062	-0.005	-0.117	0.152	0.225	0.046	0.569	-0.114	0.599	0.300	-0.294	0.319	0.360	0.320	0.411	-0.266	0.365	0.248	0.405
HAP1	0.534	-0.024	0.430	0.186	0.931	-0.256	0.223	-0.619	0.079	0.070	0.459	0.673	0.632	0.202	0.066	0.452	0.467	0.613	0.172	0.159	0.343	0.093	0.143
C20orf82	0.388	0.625	-0.608	-0.584	-0.912	1.320	2.115	0.727	-0.580	0.699	-0.625	3.235	1.798	-0.353	0.223	3.948	2.358	4.024	0.207	-0.678	3.601	0.786	3.433
LOC441376	-1.724	-1.868	1.414	-2.080	-1.947	-2.130	-1.317	-1.761	-0.309	-0.896	-0.860	-0.428	-2.548	-1.730	-1.856	-2.513	-1.302	-2.539	-0.920	-1.738	-1.440	-2.299	-1.838
