feature	experiment 1	experiment 2	experiment 3	experiment 4	experiment 5	experiment 6	experiment 7	experiment 8	experiment 9	experiment 10	experiment 11	experiment 12	experiment 13	experiment 14	experiment 15	experiment 16	experiment 17	experiment 18	experiment 19	experiment 20	experiment 21	experiment 22	experiment 23	experiment 24	experiment 25	experiment 26	experiment 27	experiment 28	experiment 29	experiment 30	experiment 31	experiment 32	experiment 33	experiment 34	experiment 35	experiment 36	experiment 37	experiment 38	experiment 39	experiment 40	experiment 41	experiment 42	experiment 43	experiment 44	experiment 45	experiment 46	experiment 47	experiment 48	experiment 49
NRAS	-2.474	-1.232	-2.364	-1.319	-3.180	-2.106	-1.047	-1.389	-2.949	-2.453	-1.411	-0.680	-2.135	-1.125	-4.620	-0.763	-1.795	-2.879	-3.193	-1.551	-1.300	-0.995	-2.356	0.838	-1.702	-0.430	-2.495	-3.811	-2.728	-1.097	-1.939	0.342	-2.615	-1.461	-1.696	1.966	-5.032	-3.310	-4.112	-1.180	-0.385	-4.164	0.584	-3.501	-4.329	-4.416	-2.525	-4.045	-0.027
TGFB1	-1.587	-3.093	-2.604	-2.839	-1.258	-1.978	-2.063	-2.063	-2.052	-2.399	-3.110	-2.108	-3.276	-2.742	-1.473	-2.509	-2.407	-1.082	-2.580	-2.055	-1.640	-2.510	-3.471	-3.246	-1.838	-2.816	-2.677	-1.869	-2.507	-2.208	-2.243	-2.553	-3.558	-1.756	-2.853	-3.092	-1.466	-1.403	-0.896	-2.656	-1.491	-1.441	-2.237	-1.671	-1.771	-1.015	-3.233	-1.488	-2.318
SMAD3	-0.250	-0.348	-0.739	0.171	-1.338	0.829	-1.406	0.569	-1.445	-0.915	0.797	-1.758	0.628	-0.754	-2.763	-0.326	-1.142	0.062	-2.052	-1.360	-0.834	-0.275	-0.542	-0.347	-1.869	-1.252	-1.649	-0.807	-1.439	-0.353	0.413	-1.131	-1.093	-0.565	-0.444	-1.057	-2.152	-2.396	-2.199	-1.548	-1.715	-1.313	-2.595	-2.561	-2.500	-2.627	0.194	-2.192	-1.207
AXIN2	0.749	0.686	0.552	0.473	0.757	0.178	0.979	0.502	0.973	0.641	0.617	0.655	0.413	0.443	0.588	0.811	0.912	0.480	0.273	0.783	0.743	0.159	0.780	0.715	1.025	0.840	0.834	0.828	0.876	0.843	0.603	0.693	0.960	0.776	1.080	-0.176	1.237	0.621	1.435	1.263	0.087	1.139	1.178	1.091	0.719	0.498	0.656	0.500	-0.003
IGF1R	0.441	-0.461	0.095	0.223	0.391	-0.205	0.335	0.496	0.425	0.125	0.072	-0.181	0.466	0.212	0.115	0.433	0.085	0.351	0.228	-0.303	0.333	-0.150	-0.156	0.144	-0.022	-0.139	1.371	0.047	0.590	0.120	-0.022	0.454	0.170	0.363	0.215	-0.007	1.460	0.417	0.186	0.302	0.760	4.016	0.686	0.187	1.302	0.787	0.577	0.253	0.197
SMAD4	0.963	-0.964	0.025	-0.683	0.871	0.246	-0.593	-0.381	-0.331	-0.978	-0.689	-0.524	-1.213	-1.028	-0.143	-1.093	-0.388	-0.067	1.204	-1.627	0.294	-0.606	-0.676	-1.270	-0.186	-1.756	-0.820	-0.978	-1.018	-0.650	-0.948	-0.743	-0.342	-0.597	-0.607	0.082	4.134	0.989	1.514	0.009	1.849	3.373	-0.671	1.073	0.187	2.035	-4.008	0.252	-0.110
KRAS	-2.371	-0.116	0.776	-2.542	-3.829	-0.447	-2.828	-3.012	-1.521	-2.404	0.882	-2.111	1.194	-2.649	-1.462	-0.672	1.937	-2.653	3.366	2.209	-3.339	-1.293	1.639	-3.938	1.597	2.374	-2.076	-3.404	1.370	-2.180	-0.214	-2.104	2.505	0.080	-0.644	-2.365	-2.215	-2.403	-0.850	-0.587	-1.375	-0.999	-1.439	-3.616	-2.286	-1.180	-0.984	-2.209	-1.305
PUSL1	0.254	-1.365	-0.318	0.002	-1.226	-1.171	-0.209	0.333	-1.555	-1.535	-1.573	-1.051	-1.088	-1.710	-0.979	-0.570	-1.633	-0.585	-1.332	-1.124	0.058	-0.881	-1.445	-1.290	-1.095	-1.475	-1.308	-0.932	-1.278	-1.541	-0.744	-0.384	-2.361	-1.190	-1.113	0.184	-0.767	-1.083	-0.220	-1.528	-1.157	-0.209	-0.592	-0.415	-1.107	-0.731	-1.669	-1.179	-0.647
LOC129881	1.331	0.284	1.062	0.752	0.544	0.982	1.040	1.652	2.238	0.273	1.044	2.589	0.497	1.348	-2.566	1.175	1.784	1.864	-1.915	0.868	1.756	1.292	1.469	2.599	0.569	1.329	0.817	1.000	1.084	1.764	1.207	1.033	2.321	2.762	2.046	0.892	0.814	-1.715	-1.607	1.297	0.848	0.456	2.746	-0.387	-0.497	-1.470	0.648	-0.802	-0.191
OBFC1	1.246	0.507	0.430	0.749	0.656	-0.168	0.560	0.551	0.756	0.589	0.659	0.745	0.437	0.453	-0.736	0.567	-0.102	1.307	-0.059	0.546	0.420	-0.089	0.315	0.282	0.199	0.506	0.321	0.566	0.560	0.406	0.879	0.476	0.016	1.044	0.645	-0.607	1.144	0.550	-0.617	0.021	1.087	2.923	0.461	0.716	0.525	2.457	0.116	1.110	0.175
GKAP1	0.197	0.515	0.007	-0.109	0.409	0.262	-0.424	-0.544	0.719	1.002	0.496	0.586	-0.122	0.570	1.988	0.887	1.004	0.900	0.598	1.042	-0.345	-1.015	-0.197	0.088	0.752	0.892	1.082	0.294	0.945	0.202	-0.434	0.709	0.857	0.734	0.820	0.358	2.951	1.743	1.018	0.226	1.701	1.310	0.350	0.672	1.862	1.117	0.587	1.810	0.947
ZAP70	-2.897	-2.235	-2.488	-2.187	-3.111	-2.899	-2.441	-2.065	-2.944	-2.947	-2.047	-2.231	-2.062	-1.333	-3.443	-2.211	-2.499	-2.554	-2.889	-1.694	-2.405	-2.034	-2.241	-1.929	-1.736	-1.904	-2.697	-3.018	-2.316	-1.792	-2.160	-1.549	-2.400	-2.083	-1.704	-0.079	-2.939	-3.532	-3.855	-2.162	-2.171	-3.129	-1.430	-2.727	-2.693	-2.802	-2.400	-2.936	-1.115
SPATS2	-0.222	-0.460	-0.573	-0.095	-0.748	-0.598	-1.017	-0.273	-0.416	-0.346	-0.489	-0.207	-0.629	-0.791	-1.179	-0.869	-0.974	0.201	-0.685	-0.671	-0.104	-0.504	-1.015	-1.100	-0.752	-0.974	-0.433	-1.177	-0.503	0.034	0.094	-0.478	-0.892	-0.417	-0.563	-1.089	-0.562	-0.407	-1.357	-1.176	-2.239	-0.118	-1.233	-0.712	-0.260	-0.071	-0.718	-0.578	-0.825
GPR151	1.281	0.374	0.966	1.016	0.696	0.418	0.901	2.875	0.742	0.407	0.636	1.209	0.255	0.254	0.828	1.012	0.594	2.170	1.085	0.599	1.014	1.153	0.861	0.597	0.419	0.541	0.106	1.305	0.609	0.918	0.576	1.243	0.649	1.079	1.507	-1.085	3.130	1.784	1.844	1.465	2.969	2.283	3.009	1.641	3.425	2.018	0.575	1.498	-3.195
RAPGEF3	1.656	2.295	0.941	1.276	0.677	1.642	1.039	0.892	1.505	0.918	1.673	1.018	1.514	1.690	1.201	1.805	1.341	0.482	0.189	1.041	-0.409	0.381	2.304	1.344	1.707	1.619	2.104	1.592	1.940	2.035	1.713	0.104	2.481	0.435	1.993	1.281	0.905	-0.091	1.175	1.514	-0.022	2.466	0.838	1.408	-0.290	-0.205	1.486	2.600	0.537
IGSF10	-6.084	-6.101	-4.076	-4.618	-5.185	-4.165	-4.793	-5.785	-5.217	-5.877	-5.597	-5.155	-5.309	-5.229	-5.739	-5.385	-4.647	-5.138	-4.056	-4.391	-4.882	-4.826	-5.151	-5.840	-6.040	-5.390	-5.008	-5.170	-4.276	-5.439	-4.622	-4.830	-6.059	-5.572	-4.954	-5.366	-5.024	-3.686	-5.211	-5.486	-3.266	-4.708	-5.698	-5.564	-4.180	-4.598	-5.322	-5.075	-3.353
THUMPD3	-1.291	-1.602	-1.043	-1.534	-0.934	-1.522	-0.942	-1.090	-1.685	-1.515	-1.863	-1.481	-1.444	-1.720	0.265	-1.808	-1.683	-1.199	-0.564	-1.494	-1.238	-1.579	-1.889	-1.752	-1.037	-1.658	-1.028	-0.911	-1.585	-1.484	-1.738	-1.409	-1.545	-0.953	-1.664	-2.366	-0.274	0.387	-0.309	-1.827	-1.410	-0.261	-1.673	-0.704	-0.079	0.407	-1.728	0.195	-1.328
PDGFC	1.818	1.015	0.894	1.183	1.181	0.567	-0.001	0.247	0.363	1.939	1.094	1.171	1.323	1.382	0.368	1.236	1.341	1.524	0.532	1.128	0.756	0.699	0.999	0.928	0.655	1.076	0.870	1.709	1.460	0.846	1.524	0.493	0.205	1.068	1.377	0.067	0.487	0.260	-0.002	0.527	-1.435	1.009	0.491	1.447	0.797	-0.076	1.174	0.656	0.347
ANXA9	-0.343	-1.524	-0.852	-0.651	0.323	-0.424	1.103	0.346	-1.046	-1.145	-1.248	-0.925	-1.200	-0.707	-1.663	-1.198	-1.484	-0.559	-1.284	-0.896	-0.454	-0.035	-1.921	-1.778	-1.238	-1.655	-0.354	-1.627	-1.563	-1.379	-0.031	-1.052	-0.759	-0.170	-1.510	-1.779	-0.590	-0.278	-0.916	-1.132	0.271	-1.573	-0.860	-0.489	-1.093	-1.348	-0.575	-2.721	-1.049
DFFB	-0.114	-0.254	-0.607	-0.133	-0.450	-0.333	-0.341	-0.300	-0.355	0.049	-0.388	-0.028	-0.172	-0.050	-1.012	-0.463	-0.471	-0.951	-1.359	-0.150	-0.093	-0.369	-0.361	-0.148	-0.393	-0.744	-0.372	-0.204	-0.071	-0.105	-0.300	-0.360	-0.449	-0.445	-0.524	-0.534	-1.482	-1.655	-1.536	-0.678	-0.468	-0.863	-0.602	-1.157	-0.779	-1.805	-0.241	-1.052	-1.138
HMGCL	1.600	0.720	0.824	1.172	0.679	0.468	0.322	1.710	1.458	1.016	1.517	1.415	0.603	1.045	0.798	0.691	1.435	1.495	0.280	1.224	1.067	-0.551	0.505	0.710	1.129	1.176	1.296	1.385	0.344	0.790	0.865	1.527	0.491	0.468	1.220	-0.596	1.050	0.976	2.313	1.226	0.293	2.239	1.274	1.083	1.239	0.628	1.356	0.811	0.819
HIST1H3F	-0.833	-1.252	-1.209	-0.970	-0.727	-1.755	-0.711	-0.518	-1.239	-1.781	-1.251	-1.658	-1.089	-1.586	-1.647	-1.121	-1.273	-1.303	-1.834	-1.310	-1.127	-1.386	-1.340	-1.758	-1.029	-1.242	-1.857	-0.880	-0.888	-1.133	-1.513	-1.217	-1.918	-0.816	-1.279	-1.244	-1.524	-1.539	-1.490	-1.501	-2.770	-1.615	-1.073	-1.043	-0.898	-1.599	-1.412	-1.594	-2.051
TACSTD2	-2.531	-1.359	-1.357	-1.531	-1.939	-2.097	-1.195	-0.523	-2.344	-1.461	-1.451	-1.734	-0.850	-2.674	-3.774	-1.573	-1.922	-2.621	-0.869	-1.284	0.588	-1.358	-1.847	-1.127	-2.448	-1.719	-0.519	3.326	0.072	-1.572	-1.922	-1.591	-1.602	-2.285	-1.877	-1.067	-1.610	0.443	-0.137	-2.485	-0.785	-0.141	-2.340	-3.989	-0.836	0.181	-0.334	-2.672	-2.640
C11orf75	2.266	1.333	1.250	1.519	0.434	1.422	2.467	1.865	0.894	0.589	0.886	1.813	0.820	1.224	1.197	1.097	1.385	1.570	0.353	1.288	1.912	1.536	0.334	1.207	0.886	0.562	0.669	-0.106	0.974	1.460	2.508	2.390	0.480	1.468	1.216	1.299	0.435	0.324	-0.255	0.598	-0.792	0.529	1.492	1.129	-0.150	1.114	0.554	0.521	1.328
PTOV1	-0.286	-0.421	-0.484	-0.134	0.091	-0.138	-0.458	-0.477	-0.292	-0.809	-0.071	-0.428	0.109	-0.299	0.355	-0.647	-0.205	-0.384	0.192	-0.360	-0.523	-0.522	-0.278	-0.215	-0.916	-0.479	-0.004	-0.197	-0.458	-0.238	-0.199	-0.180	-0.649	-0.647	-0.509	-0.777	-0.170	-0.202	0.248	-0.269	-0.379	0.167	-0.666	-0.012	0.332	-0.277	-0.534	0.566	-1.003
SUPT7L	-0.233	0.073	-0.016	-0.207	0.036	0.041	0.139	-0.373	-0.045	-0.238	0.059	-0.155	-0.007	0.024	-0.251	0.279	0.130	-0.199	-0.422	-0.281	-0.038	0.139	0.266	0.125	0.354	0.243	-0.077	0.303	0.300	0.124	-0.540	0.116	-0.077	0.549	0.154	-0.844	-0.178	-0.781	-0.466	-0.036	-1.215	-0.977	-0.426	-0.409	-1.050	-1.026	0.140	-0.370	-0.781
TOP3A	-0.780	-0.891	-0.951	-0.796	-0.426	-0.952	-1.131	-0.918	-0.941	-0.810	-0.939	-1.460	-0.850	-0.788	-0.994	-0.877	-0.772	-0.782	-0.849	-1.236	-1.214	-0.992	-0.970	-1.316	-0.793	-0.740	-1.168	-0.603	-1.224	-1.036	-1.054	-1.241	-0.737	-1.462	-0.689	0.209	-1.664	-1.405	-1.464	-1.572	-1.908	-1.172	-0.955	-1.458	-0.877	-1.410	-0.736	-1.211	-0.652
NDUFA12	-0.370	0.282	0.164	0.675	0.740	0.460	0.908	1.141	0.761	0.210	0.517	0.487	0.324	0.391	1.555	0.320	0.585	0.674	1.619	0.240	0.693	0.770	0.552	0.283	0.516	0.673	0.275	0.491	0.591	0.442	0.684	0.218	0.302	0.709	0.671	-0.463	1.541	2.214	1.579	0.120	2.052	1.847	0.476	1.060	1.897	2.369	0.298	2.219	0.455
ZMYM5	-0.360	-0.887	-0.893	-0.874	-0.346	-0.595	-0.244	-0.269	-0.772	-0.306	-0.438	-0.875	-0.469	-0.850	0.372	-1.044	-0.393	0.168	-0.044	-0.796	-0.599	-0.360	-0.818	-0.892	-0.454	-0.700	-0.602	-0.759	-0.610	-0.876	-0.996	-0.574	-0.305	-0.607	-0.491	-0.412	1.201	0.686	0.442	-0.854	-0.225	0.364	-0.512	-0.219	0.867	0.898	-0.547	0.918	-1.368
ADFP	2.937	4.055	4.222	2.506	1.938	3.700	1.262	3.114	3.655	3.110	3.773	2.293	3.025	3.477	-2.430	3.471	3.840	5.706	-0.241	4.272	3.164	1.598	2.068	2.621	4.056	3.262	4.495	0.437	2.142	1.989	2.874	4.723	2.845	2.548	3.299	-0.566	-1.435	-1.969	-0.792	4.162	-1.455	-2.387	4.383	-0.846	-1.429	-1.153	3.565	-1.246	3.968
SSH2	-0.629	-1.160	-0.948	-0.811	-0.368	-0.740	-1.116	-0.176	-0.889	-1.468	-0.851	-0.953	-1.027	-0.528	-0.933	-1.017	-0.772	-0.936	-1.277	-0.736	-1.069	-0.662	-1.042	-0.564	-1.015	-0.822	-1.215	0.171	-1.163	-1.211	-0.856	-0.411	-1.035	-1.101	-0.789	-0.557	-0.004	-1.223	-1.412	-1.198	0.079	-0.622	-0.616	-0.563	-0.778	-1.155	-0.916	-1.414	-1.815
FAM9C	-0.500	-0.298	0.055	-0.202	-0.391	-0.246	0.063	-0.753	-0.141	-0.410	-0.252	-0.381	-0.200	-0.256	-0.669	-0.395	0.388	-0.800	-0.151	-0.731	-0.876	0.487	0.012	-0.203	-0.099	0.051	0.600	-0.277	0.168	-0.225	-0.343	-0.213	0.510	-0.381	-0.111	-0.409	-0.328	0.144	-0.023	-0.436	0.745	-0.488	-0.390	-0.140	-0.007	-0.851	-0.068	0.024	0.839
DDX23	-0.518	-0.435	-0.707	-0.393	-0.875	-0.574	-0.488	-0.208	-0.479	-0.426	-0.523	-0.432	-0.241	-0.317	-0.054	-0.461	-0.696	-0.460	-0.467	-0.623	-0.373	-0.056	-0.325	-0.060	-0.217	-0.461	-0.253	-0.576	-0.506	0.319	0.034	-0.358	-0.283	-0.661	-0.414	0.132	-1.159	-0.704	-0.586	-0.437	-1.260	-0.909	-0.538	-0.798	-0.876	-1.242	-0.778	-0.794	-0.007
CRYGC	-0.627	-0.962	-0.255	-0.665	-0.539	-1.206	-0.661	-1.226	-1.117	-1.474	-0.618	-1.045	-0.780	-0.563	-0.869	-0.794	-0.903	-0.914	-1.204	-0.520	-0.618	-1.551	-0.828	-2.288	-0.766	-1.008	-2.230	-0.566	-0.485	-0.700	-0.318	-0.719	-1.077	-0.706	-1.044	0.022	-0.646	0.395	-0.854	-0.780	1.463	0.107	-0.517	-0.262	-1.740	-0.379	-1.191	-0.508	0.129
SELP	2.202	3.244	4.770	3.155	2.278	4.724	4.450	2.342	2.279	4.117	4.387	3.834	4.560	2.619	0.671	3.474	3.823	2.223	3.275	3.828	2.600	4.176	4.393	4.292	4.714	4.048	5.092	2.813	4.763	4.365	2.505	3.803	5.480	4.019	2.819	2.532	2.261	1.777	2.293	3.477	0.798	2.700	2.069	1.889	2.428	3.110	3.950	2.685	2.697
CCL19	1.782	0.887	4.635	4.381	3.074	2.926	5.185	4.479	0.839	2.970	2.097	2.111	4.439	3.195	0.691	2.603	1.170	1.692	3.808	2.291	1.913	4.183	3.038	4.280	1.899	1.566	4.013	2.041	5.058	3.279	1.920	3.152	1.627	1.879	1.860	7.044	1.268	0.601	0.636	1.671	-0.194	1.903	2.499	1.955	3.656	5.638	0.663	3.525	3.141
LARS	-0.399	-0.474	-0.817	-0.915	-0.416	0.150	-0.295	-1.124	0.012	-0.454	-0.625	-0.203	-0.669	-0.258	-0.783	-0.651	-0.219	-0.058	-0.118	-0.945	-0.223	-0.337	-0.594	-0.281	-0.047	-0.243	-0.366	-0.890	-0.726	-0.350	-0.089	-0.738	-0.258	-0.121	-0.789	-0.638	-0.934	-0.519	-0.776	-0.532	-0.845	-1.531	-0.665	-0.889	-0.173	-0.367	-0.824	-0.387	-0.769
FAM109B	0.250	0.587	0.715	0.705	1.050	1.131	1.356	1.834	0.495	0.783	0.594	0.478	0.714	0.452	1.010	0.721	0.356	0.685	0.799	0.279	0.738	1.241	1.306	1.153	0.628	0.645	1.173	1.139	0.730	0.876	0.647	0.594	0.675	0.627	0.475	1.263	1.657	0.986	0.993	0.770	-0.187	1.357	0.885	0.641	0.807	1.160	0.372	0.861	1.052
DIS3L	0.512	-0.110	-0.316	-0.444	-0.240	-0.117	0.075	-0.968	0.108	-0.012	0.033	0.183	0.355	0.066	0.389	-0.166	0.366	-0.262	0.892	0.084	0.627	0.081	-0.290	-0.069	0.344	-0.217	-0.048	-0.558	0.062	0.403	-0.030	0.304	0.083	-0.372	-0.067	0.571	-0.252	0.112	0.298	0.143	-0.317	-0.528	-0.590	-0.422	0.213	0.761	-0.032	-0.108	-0.176
FAM38A	-1.029	-0.116	-0.693	-0.495	-1.189	-0.415	-0.856	-0.735	-0.427	-0.257	-0.328	-0.710	-0.432	-0.149	-2.053	-0.948	-0.950	-0.945	-1.192	-0.505	-0.443	-0.119	-0.547	-0.799	-0.633	-0.776	-0.409	-1.615	-0.899	-0.309	-0.610	-0.524	-0.275	-0.964	-0.603	-0.284	-1.434	-1.930	-1.587	-0.364	-1.412	-1.575	-1.125	-1.634	-1.769	-1.540	-0.673	-1.605	-0.782
VISA	-0.534	-0.247	-0.547	-0.490	-0.219	-0.337	-0.562	-0.800	-0.279	-0.523	-0.205	-0.458	-0.295	-0.068	-0.053	-0.456	-0.360	-0.577	-0.011	-0.284	-0.532	-0.123	-0.026	-0.493	-0.301	-0.259	-0.784	-0.217	-0.127	-0.416	-0.538	-0.607	-0.158	-0.527	-0.380	1.019	-0.885	-0.757	-0.872	-0.476	-0.428	-0.960	-0.289	-0.515	-0.761	-0.799	-0.212	-0.304	-0.919
HSDL1	-1.187	-1.004	-0.598	-0.758	-0.314	-1.074	-0.308	-0.986	-0.596	-0.785	-0.917	-0.865	-0.895	-1.010	0.554	-0.830	-0.766	-0.898	0.873	-0.374	-0.954	-1.345	-0.925	-1.002	-0.586	-0.735	-0.750	-0.817	-0.851	-0.934	-0.727	-0.185	-0.968	-0.461	-0.572	-1.165	0.065	0.745	0.237	-0.616	-1.018	0.196	-1.139	-0.934	0.854	0.369	-0.821	-0.051	-0.897
XRCC6BP1	0.022	-1.042	-1.003	-0.189	-0.083	-0.478	-0.814	0.051	-0.420	-0.371	-0.337	-0.335	-0.629	-0.884	-0.839	-0.465	0.106	-0.660	-1.748	-0.653	-0.015	-0.664	-0.734	-0.903	-0.567	-0.565	-0.619	-0.926	-0.500	-0.448	-0.464	-0.541	-1.083	-0.076	-0.931	-1.139	-0.033	-0.998	-1.861	-0.826	-0.526	0.361	-0.611	-0.320	-0.088	-0.779	-0.869	-0.495	-0.116
ASCC2	-0.076	-0.423	-0.557	-0.428	-0.505	-0.215	-0.554	-0.487	-0.632	-0.544	-0.164	-0.592	-0.352	-0.357	-0.399	-0.872	-0.858	0.100	-0.294	-0.491	-0.223	-1.035	-0.689	-0.859	-0.634	-0.608	0.018	-0.876	-0.788	-0.290	-0.070	-0.239	-0.441	-0.498	-0.950	-0.021	-0.775	-0.645	0.197	-0.505	-1.102	-1.102	-0.950	-1.286	-0.670	-1.062	-0.703	-0.500	-0.028
FABP7	6.136	6.613	8.008	6.862	-3.672	-4.894	6.247	0.482	3.985	2.328	4.092	7.456	6.621	4.595	-4.782	1.557	6.314	5.177	-4.764	-2.860	7.668	-2.108	2.738	6.561	3.463	5.314	3.747	0.049	5.277	6.592	6.020	4.030	-1.472	0.546	5.740	-2.783	-3.252	-4.011	-4.799	7.454	-2.459	-4.090	-2.180	-3.836	-4.678	-5.277	5.181	-3.828	1.500
